
<0000> 「嗯……\n该怎么办呢。」
<0001> 「嘿，蕾帕，脸色不怎么好呀。\n发生什么事情了吗？」
<0002> 「……烦人的东西来了。」
<0003> 「嗯，烦人是在说什么呀？\n在夸奖我吗？」
<0004> 「……哈啊，你要是可以更稳重点的话就好了，\n蕾帕是这么认为的。」
<0005> 「活力四射可是我的长处哟。」
<0006> 「请不要自己说出来。」
<0007> 「嘛嘛，比起那种事情……\n你好像有在烦恼呀。是什么是什么？\n来和我商量嘛。」
<0008> 「不用了，没事的……\n请不要过来。」
<0009> 「不要说那么无情的话嘛……\n难得刚成了魔女朋友来着。」
<0010> 「一起来提高女子力（GirlsPower）吧。\n拜托啦，闲的要命啦……」
<0011> 「哈啊……结果只是想消磨时间而已啊……\n不过这样的话，嗯……\n作为对手合适吗？\n美羽，能陪蕾帕一下吗？」
<0012> 「好好好！要交往是吧，YES！OK！\n要约会吗？要牵手吗？\n还是说要跟我来·亲·亲呢？」
<0013> 「不是那种事情啦……\n请不要把脸凑过来。」
<0014> 「诶嘿嘿，开玩笑的啦开玩笑的。\n那么，有什么我能帮忙的呢？」
<0015> 「稍微需要一个玩游戏的对手。」
<0016> 「游戏？」
<0017> 「好像是叫桌游的东西。\n从森之魔女那里借过来的。」
<0018> 「听说和别人一起玩会很开心的……\n一起来玩吧。」
<0019> 「诶～\n森之魔女竟然连这种奇怪的东西都有呀。」
<0020> 「森之魔女曰，\n此乃有很多传说的女孩子的灵魂依附\n的游戏的样子。」
<0021> 「传说的女孩子？」
<0022> 「貌似是拥有令人畏惧的女子力……\n拥有非常高的GP的一群女孩子的样子。」
<0023> 「所以，要是玩这个话……\n蕾帕的GP也一定可以一下子磨练出来的。」
<0024> 「嗯，好像很有趣的感觉！快点来玩吧！」
<0025> 「已经忍不住了吧。\n蕾帕也快忍不住了，于是赶紧开始吧。」
<0026> 「哈啊～还真是个挺好玩的游戏呢。\n不过，并没有感觉到很多的GP在里面呀？」
<0027> 「美羽你的眼睛没问题吧。\n那两个人，虽然无论哪一个的GP都不怎么样，\n可是，当两人接近的时候，\nGP以爆发的形式上涨了。」
<0028> 「CGP（CouplingGirlsPower）……？\n这就是我所不知道的女子力的可能性吗？」
<0029> 「就是这样。\nCGP……知道这一点的现在，\n蕾帕感觉到我们的GP得到了大大的提升。」
<0030> 「好厉害……！\n感觉突然间就窥见到了这游戏的厉害了……\n来嘛来嘛，再来玩嘛。」
<0031> 「当然。\n那么，下一场开始了。」
<0032> 「哈哇……那个可爱的生物是什么呀？\n真的是女孩子吗？」
<0033> 「蕾帕也快要被迷住了。\n实在太可爱了……」
<0034> 「不过，并不是女子力感觉的那种可爱呢。」
<0035> 「可爱……Cute是磨炼GP的必要项目呀。\n但是，Cute过头了的话，\n就已经超越了女孩子的限制了。」
<0036> 「所谓OverCute吗……\n我们要是不小心的话也会变成那样子的吧。」
<0037> 「竟然连错误的方面也会教导……\n蕾帕对这个游戏越来越有兴趣了。」
<0038> 「对吧对吧。」
<0039> 「是呢。\n赶快去看接下来会怎样吧。」
<0040> 「我，现在正和这些孩子们拥有着共感呢。\n果然有精神就是可爱的源头呢。」
<0041> 「确实，是和美羽的类型很像的女孩子……\n但是，蕾帕感觉她们的精彩之处是其它方面。」
<0042> 「咦？」
<0043> 「就是那些衣服呀。\n简单又飘飘然的。感觉到了犹如\n几百年来的传统所交织而成的成熟之力。」
<0044> 「确实……那些衣服确实漂浮出某种氛围。」
<0045> 「装扮可是提高GP的基本。\n无论谁穿起来都很可爱，\n这可是带有这种感觉的衣服呀。」
<0046> 「嗯，这样的话，我也适合那种衣服吗？」
<0047> 「实在太可怕了，\n就连美羽穿起来都会觉得很适合。\n不得不说，这真是很厉害的衣服。」
<0048> 「哇～\n那么下次我们叫森之魔女来做吧。」
<0049> 「啊，太狡猾了。\n蕾帕也要去拜托她。」
<0050> 「那么，我们一起去拜托吧。」
<0051> 「……蕾帕会考虑一下的。\n总之我们现在，先来尽情地玩这个游戏吧。」
<0052> 「高雅，只能这么说了。」
<0053> 「我是绝对没法变成那种感觉的啦……\n觉得有点失去信心了。」
